จังหวัด,โรคสมองเสื่อม,ติดแอลกอฮอล์,ติดยาบ้า (Amphetamine),ติดสารเสพติดอื่นๆ,โรคจิตเภท,โรคจิตอื่นๆ,โรคอารมณ์สองขั้ว,โรคชึมเศร้า,โรควิตกกังวล,ความบกพร่องทางสติปัญญา,ความบกพร่องทางการเรียนรู้,โรคออทิสติก,โรคสมาธิสั้น,พยามยามฆ่าตัวตาย (การตั้งใจทำร้ายตนเอง),ผู้ป่วยติดเกมส์ในผู้ใหญ่ (15 ปีขึ้นไป),ผู้ป่วยติดเกมส์ในเด็ก (อายุต่ำกว่า 15 ปี),โรคทางจิตเวชอื่นๆ,โรคลมชัก,รวม,ปี,pro_code
กรุงเทพมหานคร,1018,365,359,468,1967,412,437,12215,2686,1134,508,1195,2351,665,28,48,3600,1884,31340,2563,10
สมุทรปราการ,146,326,435,198,888,227,46,4839,1095,138,181,166,804,405,0,6,1631,741,12272,2563,11
นนทบุรี,630,468,429,787,1636,348,339,3917,2555,512,303,395,1162,343,7,12,4403,1410,19656,2563,12
ปทุมธานี,179,215,493,423,1439,409,84,3060,1603,213,139,224,440,179,4,3,3123,783,13013,2563,13
พระนครศรีอยุธยา,78,375,597,680,720,207,44,3332,878,52,57,60,134,240,2,0,1841,419,9716,2563,14
อ่างทอง,162,239,291,141,507,128,60,1766,569,249,66,191,216,70,0,3,767,291,5716,2563,15
ลพบุรี,198,543,830,815,1280,355,82,3714,1597,118,203,101,456,294,0,2,2359,694,13641,2563,16
สิงห์บุรี,142,124,198,81,371,113,22,1564,541,18,8,18,51,77,0,0,1181,148,4657,2563,17
ชัยนาท,222,295,380,2147,800,194,42,2626,1601,51,10,17,60,113,0,2,2830,404,11794,2563,18
สระบุรี,219,365,307,392,1457,233,146,2814,1454,174,262,116,427,226,0,1,2706,878,12177,2563,19
ชลบุรี,983,666,1382,1631,1643,715,174,3552,2755,250,95,195,450,553,0,12,4564,2006,21626,2563,20
ระยอง,825,803,1737,736,1395,897,359,2377,5138,158,103,156,609,365,4,1,2935,2024,20622,2563,21
จันทบุรี,292,481,308,998,1295,332,297,1939,1346,200,198,131,447,426,3,0,2225,1122,12040,2563,22
ตราด,138,541,597,429,680,217,74,1259,579,120,208,51,250,88,0,0,1130,648,7009,2563,23
ฉะเชิงเทรา,124,1107,504,983,657,284,25,2457,556,64,75,39,170,133,0,1,1328,584,9091,2563,24
ปราจีนบุรี,138,404,745,102,940,225,36,1057,1268,77,43,63,244,143,0,1,1069,711,7266,2563,25
นครนายก,75,88,169,396,314,44,23,732,332,49,39,47,145,53,0,2,318,164,2990,2563,26
สระแก้ว,147,706,966,306,1341,403,85,1553,1866,146,72,65,151,229,1,1,2270,677,10985,2563,27
นครราชสีมา,1549,11229,2496,13608,7219,2560,749,11001,8874,815,261,343,1067,628,1,8,12271,3722,78401,2563,30
บุรีรัมย์,422,3193,2409,6797,5132,1824,225,6704,2835,170,76,80,455,484,2,3,4500,2511,37822,2563,31
สุรินทร์,206,2689,850,4595,2543,864,61,4673,2185,119,104,64,320,366,0,5,3032,1057,23733,2563,32
ศรีสะเกษ,974,7847,4876,6193,7400,4560,366,9242,15676,916,293,376,2732,539,2,12,6013,3828,71845,2563,33
อุบลราชธานี,891,6666,6210,5664,8870,3280,632,10240,14187,1218,319,658,2741,262,2,51,10385,5627,77903,2563,34
ยโสธร,111,653,345,1145,1898,712,89,2190,1452,140,41,117,384,76,0,4,1098,454,10909,2563,35
ชัยภูมิ,393,6355,925,16569,2524,1110,168,5457,2262,274,69,96,359,315,2,2,2132,927,39939,2563,36
อำนาจเจริญ,160,578,530,255,1583,450,51,1801,1233,172,68,99,350,97,0,8,984,617,9036,2563,37
บึงกาฬ,30,232,358,260,633,158,22,1319,206,28,7,24,35,99,0,7,330,239,3987,2563,38
หนองบัวลำภู,667,256,117,101,1093,184,36,3199,1358,71,14,35,46,126,0,0,859,448,8610,2563,39
ขอนแก่น,1206,4358,2974,4334,5726,2190,478,7404,9760,591,396,388,1046,512,7,35,6460,2560,50425,2563,40
อุดรธานี,553,1344,2134,745,3724,866,444,4999,7642,368,112,281,501,265,1,2,2534,2329,28844,2563,41
เลย,134,333,348,716,1203,220,15,3121,1175,69,70,46,114,287,0,2,964,557,9374,2563,42
หนองคาย,108,289,468,229,724,240,41,2630,1365,66,37,105,191,106,3,0,889,480,7971,2563,43
มหาสารคาม,619,23338,1911,22773,2857,1770,272,3419,2653,279,140,205,572,131,12,11,2498,2085,65545,2563,44
ร้อยเอ็ด,294,3814,1981,5188,4642,1559,137,3789,3368,433,432,193,919,239,2,6,2994,1579,31569,2563,45
กาฬสินธุ์,318,1043,1794,889,3851,2428,169,3349,4199,215,197,120,437,157,3,8,3461,1464,24102,2563,46
