"จังหวัด","โรคสมองเสื่อม","ติดแอลกอฮอล์","ติดยาบ้า (Amphetamine)","ติดสารเสพติดอื่นๆ","โรคจิตเภท","โรคจิตอื่นๆ","โรคอารมณ์สองขั้ว","โรคชึมเศร้า","โรควิตกกังวล","ความบกพร่องทางสติปัญญา","ความบกพร่องทางการเรียนรู้","โรคออทิสติก","โรคสมาธิสั้น","พยามยามฆ่าตัวตาย (การตั้งใจทำร้ายตนเอง)","ผู้ป่วยติดเกมส์ในผู้ใหญ่ (15 ปีขึ้นไป)","ผู้ป่วยติดเกมส์ในเด็ก (อายุต่ำกว่า 15 ปี)","โรคทางจิตเวชอื่นๆ","โรคลมชัก","รวม"
"กรุงเทพมหานคร","4,495","3,006","2,601","4,200","15,415","3,490","3,545","17,040","16,454","2,640","1,188","3,557","5,853","1,565","87","169","16,369","6,959","108,633"
"สมุทรปราการ","1,249","1,545","1,235","1,576","4,884","1,327","719","6,786","6,616","1,783","1,232","3,363","5,786","620","18","66","9,089","3,387","51,281"
"นนทบุรี","1,581","925","651","1,446","4,127","970","1,532","7,373","6,730","1,028","485","1,066","2,240","592","15","30","9,669","2,823","43,283"
"ปทุมธานี","746","694","594","1,666","3,293","826","677","4,459","3,841","462","300","605","1,078","277","9","17","6,921","1,768","28,233"
"พระนครศรีอยุธยา","783","1,570","2,965","2,440","3,073","1,502","641","5,160","4,335","502","332","536","1,213","624","4","8","5,596","2,254","33,538"
"อ่างทอง","476","988","895","1,464","1,220","248","180","2,779","1,472","260","140","338","513","196","1","3","2,219","688","14,080"
"ลพบุรี","936","1,381","1,954","1,402","2,693","1,154","287","4,784","4,695","487","787","605","1,423","615","1","3","7,010","2,217","32,434"
"สิงห์บุรี","781","417","511","384","915","460","186","2,298","2,027","169","82","130","521","154","2","10","3,438","634","13,119"
"ชัยนาท","987","635","1,211","946","1,628","620","130","3,406","3,807","240","76","171","462","246","9","11","7,982","1,327","23,894"
"สระบุรี","667","3,136","813","1,249","3,391","706","430","4,597","3,705","579","700","489","1,322","445","4","4","7,142","2,350","31,729"
"ชลบุรี","1,174","2,168","1,808","2,182","4,769","2,404","796","6,848","7,502","1,021","556","1,319","1,795","1,093","6","113","12,328","5,266","53,148"
